"Id";"Designator";"Footprint";"Quantity";"Designation";"Supplier and ref";
1;"IC5,IC9,IC3,IC4,IC2";"SO16";5;"74138D";;;
2;"C4,C14,C23,C18,C17,C24,C5,C15,C13,C21,C3,C6,C1,C20,C19";"E2,5-5";15;"47u";;;
3;"JP8,JP17";"JP1";2;"JP1E";;;
4;"P2,P4,P3,P1";"CSABUSSOCK180";4;"CSABUSSOCK180";;;
5;"C11,C8,C9,C16,C12,C2,C10,C22,C7";"C0603";9;"C-EUC0603";;;
6;"JP11,JP15,JP16,JP1,JP14,JP9,JP2,JP10";"JP2";8;"JP2E";;;
7;"H2,H5,H6,H1,H4,H3";"3,2";6;"MOUNT-HOLE3.2";;;
8;"SLOT5,SLOT3,SLOT7";"FE100-25";3;"A2SLOT";;;
9;"SLOT6.1,SLOT6.2";"SIL40";2;"RC2014/6502";;;
10;"U$1";"FABC48S2";1;"CSASHORTBUSFS";;;
11;"IC8,IC7";"SO14";2;"74125D";;;
12;"U$2";"MABC48B2";1;"CSASHORTBUSMA";;;
13;"IC6";"SO14";1;"7400D";;;
14;"IC1";"SO14";1;"7404D";;;
15;"X1";"FE100-22-2";1;"PORT_EXPANSION_64_CONN";;;
16;"R1";"R_Axial_DIN0204_L3.6mm_D1.6mm_P2.54mm_Vertical";1;"10k";;;
17;"J1";"827001";1;"FLOP-4W827001";;;
